item_name,text,type,answers,values,optional,btn_width,
instructions3,<span style='color:#006699'><span style='font-size:20px'>Please state how worried you have been about the following concerns relating to the pandemic and lockdown :</span></span>,instruct,,,,,
Lifestyle1,Being infected with the virus by others,likert,Not at all|Somewhat|Neutral|Moderately|Very|Extremely,1|2|3|4|5|6,no,125px,
Lifestyle2,Infecting others with the virus,likert,Not at all|Somewhat|Neutral|Moderately|Very|Extremely,1|2|3|4|5|6,no,125px,
Lifestyle3,Job Security,likert,Not at all|Somewhat|Neutral|Moderately|Very|Extremely,1|2|3|4|5|6,no,125px,
Lifestyle4,The financial implications of the outbreak,likert,Not at all|Somewhat|Neutral|Moderately|Very|Extremely,1|2|3|4|5|6,no,125px,
Lifestyle5,Food shortages,likert,Not at all|Somewhat|Neutral|Moderately|Very|Extremely,1|2|3|4|5|6,no,125px,
Lifestyle6,The government's abiltity to manage the outbreak,likert,Not at all|Somewhat|Neutral|Moderately|Very|Extremely,1|2|3|4|5|6,no,125px,
Lifestyle7,The healthcare systems ability to care for COVID-19 patients,likert,Not at all|Somewhat|Neutral|Moderately|Very|Extremely,1|2|3|4|5|6,no,125px,
Lifestyle8,The impact of school/univeristy closures on children and young adults,likert,Not at all|Somewhat|Neutral|Moderately|Very|Extremely,1|2|3|4|5|6,no,125px,
Lifestyle9,International border closures,likert,Not at all|Somewhat|Neutral|Moderately|Very|Extremely,1|2|3|4|5|6,no,125px,
Lifestyle10,How much you would be judged by other if you caught covid,likert,Not at all|Somewhat|Neutral|Moderately|Very|Extremely,1|2|3|4|5|6,no,125px,
Lifestyle11,Being isolated,likert,Not at all|Somewhat|Neutral|Moderately|Very|Extremely,1|2|3|4|5|6,no,125px,
,,,,,,,
